FAFB,BANC,MCNS
720575940610928338,720575941479987074,516468
720575940620060838,720575941553783706,22573
720575940611347123,720575941511434450,10145
720575940638496821,720575941572655774,11597
720575940627102280,720575941555752531,11126
720575940626784868,720575941508588834,12660
720575940616980737,720575941435456288,11401
720575940629382700,720575941537808872,20698
720575940620840948,720575941495201918,12942
720575940613113325,720575941643620216,13029
720575940634828462,720575941430869385,18723
720575940624120649,720575941591053566,14688
720575940642262157,720575941655117273,506608
720575940619436225,720575941554726810,514666
720575940632457514,720575941553881991,520053
720575940609834308,720575941658788632,11774
720575940631875896,720575941633117893,17044
720575940612195737,720575941565379335,513634
720575940623093941,720575941553660551,524332
720575940635840233,720575941504619458,22400
720575940630853436,720575941524402251,19015
720575940643041646,720575941655760852,20386
720575940627815080,720575941554308635,12318
720575940627293194,720575941624365052,21859
720575940613470189,720575941515920227,17468
720575940617422481,720575941480353504,13138
720575940621225893,720575941477646913,28978
720575940638978749,720575941599070144,18703
720575940631905080,720575941519092140,17342
720575940627678997,720575941507068962,14425
720575940611755157,720575941459340191,11008
720575940637806662,720575941393217174,73880
720575940614098897,720575941439676991,67606
720575940629353788,720575941579789649,39033
720575940654758561,720575941560188943,17571
720575940624064659,720575941578850393,418789
720575940615775574,720575941680379581,36096
720575940609643273,720575941626106058,24356
720575940614724514,720575941633352352,512187
720575940620324079,720575941536177162,512156
720575940626571602,720575941414739092,12192
720575940631631929,720575941607775597,33453
720575940613746087,720575941408989102,526526
720575940628733699,720575941480483040,16517
720575940638954611,720575941590092855,15991
720575940620597232,720575941552916798,513430
720575940636866906,720575941498180425,506333
720575940632623842,720575941409831083,23574
720575940628411781,720575941392890628,20327
720575940646386308,720575941535338218,555314
720575940631599244,720575941432571351,518201
720575940649828473,720575941481131427,17209
720575940617139457,720575941529362104,517277
720575940639778904,720575941579808337,33411
720575940628962938,720575941545057541,515071
720575940623777065,720575941499884962,12296
720575940621656541,720575941490800841,511820
720575940631851404,720575941523199735,16483
720575940630118927,720575941508430942,16232
720575940615376863,720575941513846604,11708
720575940628910956,720575941496100992,13013
720575940635932590,720575941509970960,529603
720575940627430376,720575941523250935,28740
720575940618800064,720575941542714716,15660
720575940623764007,720575941425369940,12683
720575940605188226,720575941678813629,11714
720575940624863015,720575941550175549,516322
720575940603464672,720575941537959651,10039
720575940632698797,720575941408788527,520916
720575940659611777,720575941528108198,11583
720575940626675837,720575941532833765,10408
720575940623605943,720575941486333069,37635
720575940625007949,720575941662878844,17225
720575940626043218,720575941487229392,525065
720575940620445062,720575941558640932,12715
720575940629301248,720575941528134310,13116
720575940631302700,720575941532640741,23682
720575940615348689,720575941516247898,20497
720575940620537947,720575941542058269,20564
720575940630909714,720575941595801221,11567
720575940630461009,720575941530926979,13969
720575940628781828,720575941517040019,11287
720575940638148686,720575941486569026,513364
720575940628006296,720575941488231120,14961
720575940622915060,720575941478603370,13563
720575940622541005,720575941526892802,41289
720575940611401938,720575941626272411,14356
720575940634935065,720575941643940709,12555
720575940606385440,720575941536603368,14019
720575940622790271,720575941471452791,10615
720575940629728811,720575941456932333,534420
720575940639542691,720575941460198214,13007
720575940619061662,720575941539808205,521581
720575940612991381,720575941603447798,23072
720575940634771552,720575941520689075,527367
